,time,event,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,10-51-40.163752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,99.0,1.0,54637.25234714179,57963.54955000276,36636.11848784906,26907.678175887846,22558.43103628529,25607.231331733627,26681.724391189146,36725.480762181374,34178.05244661003,26665.452321225683,34677.79274914179,33206.17624594882,26651.28131524102,32412.577559063146,42063.14439334207,36810.976184722924
1,99.0,1.0,109211.15985049724,115834.49582272719,73253.86384175585,53854.06957317228,45064.693101011886,51301.18743195384,53344.13687516891,73599.26534882371,68660.89328061262,52601.38840691905,68285.56278771911,66960.41726594178,52919.56548924035,64823.59049601442,84465.32004658223,73480.77875146613
2,99.0,1.0,109275.21995010614,115894.13027693395,73259.47412961413,53888.17833521108,45121.35477320609,51258.00386166619,53378.75972733018,73535.24995270371,68737.35859839423,52805.8621651962,68377.65197487497,67038.51426106862,52953.51778906796,65022.52102166665,84427.25502577485,73524.94579850981
3,99.0,1.0,109238.69719966617,115864.51421553067,73279.63540311283,53965.09068788179,45089.61529607955,51298.43816738584,53391.299055969605,73584.60260446103,68794.66847117763,52656.060773856734,68492.78581056427,67011.64746423333,52981.77039405947,64787.02304208554,84478.0381891773,73491.21701612676
4,99.0,1.0,109231.65640016276,115885.21193089629,73280.68593510223,54013.415159394164,45108.658982355475,51255.12048663146,53410.34274224553,73568.55405194212,68838.70140775459,52932.283631835424,68577.72243949444,67061.55890960204,53100.32404665042,65041.38589398693,84426.0256798298,73527.09156597752
5,99.0,1.0,109223.52036518102,115863.95542191928,73296.82389459896,54086.348901551835,45097.52781361673,51285.63061781295,53431.26397505569,73582.90387188243,68860.42730336516,52672.5340095203,68652.66783865307,67030.93701969826,53195.45307105221,64752.22137596863,84488.16352941556,73482.76805672265
6,99.0,1.0,109214.33379820989,115859.06038988357,73254.06500745595,54152.21949246163,45084.67556055493,51281.54024857763,53401.871431096966,73593.29743305415,68934.14335657876,52994.62264712127,68771.80263659987,67116.96888410674,53416.98121034876,65057.412094761385,84438.11797358013,73538.82623181657
7,99.0,1.0,109203.13557423778,115839.86024139647,73220.55974251745,54214.066769369456,45069.47637432532,51277.449879342304,53419.7081231723,73561.73676988325,68924.28623727396,52711.26958266134,68814.15919234266,67039.07305468,53533.59026117209,64702.39933757774,84460.26855233533,73473.35797230697
8,99.0,1.0,109225.59907741536,115865.00595390868,73162.51226216702,54276.83046779996,45052.44434505038,51299.891030775434,53402.072596797065,73620.9241892009,68968.25211861756,53022.89760385724,68895.5642456489,67126.91541038935,53796.714996899966,65035.5520886841,84378.32705716218,73529.01381600069
