,time,event,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
11,99.0,1.0,109610.16084076892,115874.72896274674,76553.11543382591,52770.077022323254,43886.13031937246,50779.45301287807,52082.44795590019,68912.19394352364,69966.36926726929,49045.4270297798,68193.40654532988,64260.19242527395,54881.62396927166,62149.58425159267,71463.0197242522,72949.47778576348
12,99.0,1.0,109620.59910542954,115893.12444843346,76581.30098358405,52784.38213877465,43913.17593016338,50774.669739564626,52098.764729352566,68855.82284400736,69890.73096403253,48605.83527157728,68134.01796031212,64160.7942176812,54741.03149664778,61697.34140602844,71496.25676825724,72878.93568026253
13,99.0,1.0,109615.14527978246,115900.6569863149,76574.93073641429,52794.75334820191,43894.17694737637,50821.40723722068,52103.05626428798,68946.05683637343,69993.34782282685,49043.013041378625,68207.35403387,64272.19531204645,54900.89117299214,62139.57067007669,71466.64070685396,72954.77514919938
14,99.0,1.0,109642.34735278456,115915.47619288877,76566.74999794364,52785.052691108314,43917.55687207662,50769.774707528915,52105.49260443361,68864.36121038928,69896.78828677992,48664.665062983644,68152.41344599884,64180.44140105742,54751.06742990821,61716.27333358209,71501.10709680404,72901.91327356259
15,99.0,1.0,109591.83241031558,115865.34123007552,76550.54498321355,52780.31412128379,43877.48019426825,50826.01169657847,52094.11556650586,68972.54365355297,69950.6559909172,49018.18025328878,68199.41916458835,64258.04665780624,54869.1516958656,62096.76707944478,71450.36863689049,72947.19790782905
16,99.0,1.0,109655.08784712409,115932.77644309717,76583.64791675186,52787.35492078721,43929.40329663793,50767.31601563883,52121.898784863806,68870.01620173648,69890.95448147708,48662.27342632692,68153.2851640326,64176.26162484427,54761.103363168644,61739.96618270472,71485.48322742978,72902.58382589625
17,99.0,1.0,109603.7235383658,115877.56763429257,76553.16013731482,52791.78056618936,43882.33052281506,50843.62487120925,52105.537307922525,68982.80310425795,69967.12922658077,48986.15020348432,68213.05372870609,64265.73565789887,54868.79406795432,62060.37843947154,71459.2646311837,72945.23095431697
18,99.0,1.0,109643.7778644297,115913.19631495433,76554.09891058195,52778.36951951618,43912.81830225209,50749.83695147478,52106.78900561202,68844.69167526862,69895.73775479052,48709.413255383166,68160.57183272504,64185.78346798223,54753.72728749839,61775.03606975509,71468.42884641037,72902.38266019615
19,99.0,1.0,109589.93251203687,115874.84072146902,76551.19318380275,52800.38598780466,43858.99530160371,50852.00677537999,52103.12331952135,68988.41339211624,69937.08848203284,48939.54681629501,68191.35018483999,64245.68614312245,54838.97684085093,61981.94616817787,71446.68059905537,72924.86851511819
20,99.0,1.0,109649.45520752136,115921.86879180299,76543.52653545458,52793.233429578955,43915.61227030901,50750.44044857508,52125.36330525438,68852.04539919441,69902.77855429394,48751.74745938152,68167.32205955054,64199.842715244624,54760.924549213,61811.9387998508,71455.19661369284,72911.6139306562
21,99.0,1.0,109604.63995988846,115883.55790180659,76568.76165494462,52819.69789501404,43868.45008950831,50858.980519650046,52116.22144177216,68995.20832243066,69936.03795004344,48872.75980386255,68198.3462808545,64240.16526224199,54810.187793992496,61929.79954836363,71453.92256425889,72920.53227669386
22,99.0,1.0,109650.12575985501,115945.40517871443,76557.56343097251,52786.103223097714,43913.578261563576,50737.968175169015,52119.90947960728,68843.43997757912,69925.59968538281,48814.91348921222,68180.82251320154,64212.650264817516,54788.48425012639,61849.60148925799,71456.80593929363,72921.38164298316
23,99.0,1.0,109590.11132599252,115864.62597425295,76571.98030614619,52827.18572940656,43862.660987694384,50853.77256319196,52110.38763646933,68981.21613040163,69910.13227821974,48814.66762002321,68188.846789461,64217.36648289758,54791.54643911677,61850.38380031393,71448.13346244497,72901.39918344011
24,99.0,1.0,109644.51547199672,115926.02621627167,76559.68684669577,52800.38598780466,43906.89508997144,50743.93609093858,52114.09802604891,68853.67707653965,69901.52685660444,48852.21855070812,68178.36382131146,64218.68523582045,54787.0313867368,61885.05135596411,71435.6611890389,72917.67125340358
25,99.0,1.0,109595.81102082861,115892.16332342188,76578.19409110476,52844.955366248534,43870.72996744275,50851.850313168805,52110.54409868051,68981.01496470154,69908.96998750806,48770.4111660017,68192.17719938484,64217.61235208659,54772.145124929564,61792.00104379667,71457.5658986051,72901.44388692903
26,99.0,1.0,109662.62038500553,115944.64521940294,76584.89961444135,52821.93306945957,43908.48206382777,50746.841817717774,52106.4984329341,68852.93946897262,69925.04089177142,48927.47687428915,68192.42306857384,64230.41990165948,54789.020691993326,61910.13001324297,71421.5572382876,72923.8626866177
27,99.0,1.0,109592.65942486042,115879.6463465269,76598.93650995928,52855.3265756758,43878.754243702206,50835.86881588326,52108.21951725716,68953.63407774379,69919.49765914651,48714.95648800809,68195.55231279759,64206.95056998141,54751.64857526405,61729.818490722006,71456.44831138234,72890.31271819028
28,99.0,1.0,109634.61364920303,115913.19631495433,76579.11051262743,52832.527796331386,43904.57050854809,50755.156666655144,52101.335179964924,68877.77225706248,69912.14393522071,48925.24169984361,68214.57364732906,64242.24397447634,54801.3365031882,61945.51282471572,71415.72343298477,72929.42827098707
29,99.0,1.0,109612.08309079208,115889.79403850962,76616.97436773471,52872.85034332876,43889.21486010729,50831.89020537022,52098.94354330821,68931.70701643312,69902.17505719364,48660.79821119287,68204.98474895772,64201.63085480105,54742.48436003737,61670.42990570425,71464.56199461961,72890.08920074573
30,99.0,1.0,109658.95469891485,115956.0222573307,76613.86747525544,52877.208933497546,43917.623927309985,50793.2887426959,52113.583935926436,68916.23960927005,69937.51316517749,48984.40676741681,68235.27136269466,64261.8688061081,54816.15570976207,61972.51373201773,71420.17143013138,72946.43794851756
31,99.0,1.0,109632.93726836889,115937.91734432189,76630.586580108,52909.17192806863,43907.09625567153,50840.54033047442,52113.33806673742,68944.15693809473,69915.78726956694,48650.94109188808,68219.11105145348,64209.766889782775,54720.46789174889,61626.24050691611,71474.06148601312,72910.6081021557
32,99.0,1.0,109632.60199220205,115936.06214953211,76607.51957983013,52889.86002085925,43905.866909726494,50800.262486965956,52102.98920905462,68913.1103650463,69953.91934560769,49013.575793930984,68265.17799677586,64277.939710371465,54830.05849481327,61995.20075263987,71413.73412772824,72958.75375971243
33,99.0,1.0,109633.8313381471,115910.62586434197,76624.77512654962,52916.61505897225,43915.14288367544,50824.58118493333,52113.427473715245,68911.03165281197,69891.80384776638,48606.25995472193,68219.08869970903,64193.4501163304,54711.52719396677,61588.57781750892,71454.32489565908,72896.68296536004
34,99.0,1.0,109642.30264929566,115917.9125330344,76606.55845481854,52906.15444256717,43895.27218285468,50819.08265579733,52100.016427042065,68934.52333623449,69964.80464515742,49022.51649171311,68280.55599696112,64284.46641975241,54829.92438434654,62011.94220923689,71393.61755771846,72960.81012020232
35,99.0,1.0,109651.06453312213,115942.03006530167,76613.7780682776,52918.13497759521,43915.50051158673,50811.036027793416,52116.46731096117,68893.68669911465,69887.66877504216,48596.42518716159,68218.79812703111,64186.72224124936,54692.75172862432,61563.90149163026,71431.34730235902,72897.82290432727
36,99.0,1.0,109620.73321589628,115932.75409135272,76591.60513777795,52916.77152118344,43885.10213912751,50830.01265883597,52102.22924974314,68940.96063863763,69960.17783405517,49029.28907028307,68274.5210259582,64277.447971993446,54826.66102965606,61990.41747932643,71372.29399350811,72956.83150968928
37,99.0,1.0,109656.98774540279,115964.24769929025,76622.07056547052,52937.75980922697,43926.9669564923,50808.15265275868,52128.31373552248,68882.9578617761,69898.08468795833,48629.75163814445,68221.34622589902,64202.636683301535,54691.72354837937,61558.49236947208,71419.79145047563,72908.6635003881
38,99.0,1.0,109627.68460842189,115936.75505361022,76605.88790248489,52943.884187207725,43886.845575195024,50853.884321914236,52114.92504059375,68954.7293132221,69961.22836604457,49029.93727087227,68288.20029356483,64289.56261748823,54838.082771072724,61969.74211570527,71365.83433936052,72968.05208540584
39,99.0,1.0,109666.17431237391,115959.44207423236,76606.24553039618,52939.50324529449,43916.37222962049,50791.76882407294,52127.95610761119,68853.07357943935,69902.5997403383,48642.31331852834,68229.19168820283,64189.627968028544,54696.52917343726,61576.843151669884,71379.75947615618,72907.03182304285
40,99.0,1.0,109637.6758381934,115921.1088324915,76607.76544901913,52959.820981004355,43880.296514069625,50876.101955902814,52126.97263085516,68986.15586592625,69978.12628485278,48989.03357851906,68291.28483429967,64283.70646044093,54820.64841039758,61921.19412674834,71338.00641751366,72960.38543705767
41,99.0,1.0,109661.72631522731,115953.83178637408,76625.9374172613,52957.85402749229,43932.085505972565,50799.1896032321,52145.74809619762,68860.56141383188,69902.08565021583,48689.60960979576,68251.58813614704,64214.7066253074,54718.83621440366,61617.880954489825,71359.93347882431,72931.88696287715
42,99.0,1.0,109608.3727012125,115939.63842864496,76615.8791322564,52970.57217008736,43881.749377459215,50881.17580189417,52133.78991291403,68984.2336159031,69950.6112874283,48939.56916803947,68294.48113375678,64278.58791096067,54809.31607595874,61876.51298958218,71328.52927786461,72958.97727715698
43,99.0,1.0,109669.37061183104,115972.80841741663,76622.65171082637,52956.62468154725,43928.93391000437,50782.224629190525,52144.63050897486,68836.15330888669,69908.16532470768,48741.912691821184,68263.50161594173,64217.05355847521,54734.08010412218,61642.57963211294,71334.20662095626,72935.37383501219
44,99.0,1.0,109597.4203464294,115900.76874503717,76624.6410160829,52979.468164380574,43874.68622621134,50889.62476129828,52129.83365414544,68979.6291565453,69931.58995289683,48889.41185348175,68287.26152029772,64259.94655608494,54797.00026476387,61809.74832889418,71314.42532711332,72942.8169659158
45,99.0,1.0,109686.67086203943,115981.27972856519,76650.21141173976,52982.46329813758,43945.69771834585,50794.49573689649,52153.906482923805,68851.21838464956,69932.05933953039,48797.88145993727,68285.22751155228,64242.10986400961,54762.66798528052,61707.019711377594,71317.84514401498,72947.8237566738
46,99.0,1.0,109628.04223633317,115937.35855071052,76660.35910372247,53012.50404268552,43895.048665410126,50907.52850860698,52152.27480557857,68998.82930503241,69956.75801715351,48856.979472277104,68313.74833747726,64276.732716170874,54798.8331078092,61781.85335181396,71318.89567600438,72957.92674516758
47,99.0,1.0,109685.03918469421,115989.19224610236,76656.87223158745,52987.648902851215,43941.316776432606,50792.41702466214,52157.32629982547,68860.74022778752,69947.72791239356,48851.682108841196,68305.81346819561,64256.884367094564,54774.51440984183,61761.44620912626,71296.45452457125,72965.21341386002
48,99.0,1.0,109632.75845441324,115941.27010599019,76684.63309820094,53029.513720216004,43890.287743841145,50906.07564521738,52149.19026484374,68987.8322467604,69960.7142759221,48811.22545137709,68323.47134631532,64262.24878576384,54795.10036648517,61717.368569060396,71307.92096947682,72953.1211201097
49,99.0,1.0,109675.87496946752,115991.78504845919,76671.8479003725,52987.13481272874,43929.69386931585,50793.15463222917,52149.167913099285,68859.24266090902,69948.39846472723,48898.97840010863,68315.69293924487,64262.1146752971,54784.90797101355,61796.87372408793,71274.66157372732,72963.51468128142
50,99.0,1.0,109643.59905047406,115967.84633014756,76702.00040364271,53042.254214555534,43903.67643876987,50909.875441774784,52154.17470385727,68979.53974956748,69955.37220899727,48776.669654449186,68321.07970965859,64257.6666781505,54774.42500286401,61668.5076556811,71311.27373114512,72945.38741652816
51,99.0,1.0,109674.15388514446,115996.05423165015,76684.92367087885,53004.39035944824,43934.678308329385,50812.82416734984,52146.68686946474,68877.95107101812,69968.15740682572,48967.084165463944,68335.0271981987,64286.120448842106,54819.77669236383,61844.66175373337,71274.12513186039,72978.3785913442
52,99.0,1.0,109626.3211520101,115938.92317282238,76701.26279607568,53033.6711446847,43907.275069627176,50893.91629623369,52144.11641885238,68949.99074339756,69934.87565933177,48728.278127703445,68309.0768228861,64237.728922096365,54756.767124744314,61604.64872177228,71301.90835021835,72931.81990764379
53,99.0,1.0,109670.2870333537,115978.48576050828,76685.5495197236,53004.77033910398,43928.8221512821,50824.60353667779,52138.59553797192,68888.36698393429,69973.34301153934,49004.67979963777,68333.10494817555,64285.762820930824,54821.94481157599,61877.4070593604,71259.68590494226,72976.65750702114
54,99.0,1.0,109638.56990797161,115959.84440563255,76693.68555470533,53014.67216189768,43906.13513065995,50871.430441311655,52118.970706340166,68913.55739993542,69936.06030178789,48689.85547898478,68295.2634448127,64224.65315159001,54735.2200430894,61546.10950304384,71299.69552751727,72918.52061969288
55,99.0,1.0,109660.47461753782,115970.19326331536,76670.10446430498,53002.333998958355,43918.49564534374,50829.967955347056,52121.09412206342,68900.59338815133,69976.78518018547,49049.20447459275,68323.0243114262,64285.94163488646,54822.81652960975,61890.751050800216,71245.62665767988,72960.78776845787
56,99.0,1.0,109646.16950108642,115973.63543196148,76706.44840078932,53037.15801681972,43929.93973850486,50869.93287443315,52135.13101758135,68917.42425172619,69929.22066798457,48678.21022012356,68287.17211331989,64213.74550029582,54731.532005254274,61522.77428183249,71298.42147808331,72915.74900338042
57,99.0,1.0,109655.51253026874,115975.64708896246,76683.850787145,53026.07155156989,43929.2691861712,50860.16516210618,52125.36330525438,68930.43296699917,69987.82694194639,49067.73407074619,68335.60834355454,64297.11750711412,54849.973899122946,61932.325295487084,71240.08342505497,72980.63611753417
58,99.0,1.0,109666.86721645204,115987.13588561249,76707.29776707862,53046.63515646877,43945.51890439021,50869.79876396641,52124.625697687356,68899.87813232877,69930.11473776278,48668.19663860758,68286.88154064197,64220.42867188796,54739.75744721383,61523.19896497714,71297.50505656065,72937.83252690226
59,99.0,1.0,109643.01790511822,115971.35555402703,76681.66031618838,53025.51275795851,43922.36249713451,50870.98340642255,52098.72002586365,68936.46793800211,69995.44888680565,49084.78845176559,68337.55294532215,64308.15926887504,54862.73674520692,61945.69163867136,71233.60141916292,72989.91209148313
60,99.0,1.0,109669.6388327645,115997.30592933965,76706.69426997832,53042.56713897791,43958.46056442983,50857.661766727186,52125.542119210026,68888.99283277904,69920.86111555829,48664.77682170592,68283.70759292932,64211.71149155039,54734.41538028901,61510.12319447079,71273.05224812654,72925.78493664086
61,99.0,1.0,109650.61749823303,115976.76467618522,76698.84880767451,53046.47869425758,43934.65595658493,50898.11842419129,52112.08636904793,68971.1801971412,69997.52759903998,49089.97405647922,68345.4878146038,64308.24867585286,54863.608463240686,61940.103702557535,71224.32544521397,72987.25223389296
62,99.0,1.0,109677.17137064593,116002.08920265308,76713.73506948174,53044.64585121225,43968.74236687927,50846.97763287755,52118.23309877314,68876.54291111743,69937.17788901067,48695.26460114296,68297.0739361136,64218.52877360926,54749.145179885054,61541.21447100812,71262.85985265492,72943.97925662747
63,99.0,1.0,109634.0772073361,115972.07080984961,76705.42022054437,53048.69151695866,43928.19630243735,50907.66261907371,52101.268124731556,68973.16950239772,70000.67919500818,49060.93914043178,68346.40423612646,64302.884257183585,54874.42670755705,61915.136804000955,71215.76472708759,72987.69926878206
64,99.0,1.0,109674.33269910011,115994.9813479163,76710.15879036889,53046.16576983521,43970.50815469124,50830.616155936266,52105.26908698906,68857.40981786369,69926.87373481676,48718.86804328776,68291.79892442214,64211.39856712802,54750.93331944148,61557.620651438316,71235.38955871935,72940.58179147026
65,99.0,1.0,109630.41152124543,115957.87745212049,76705.88960717793,53060.292072330965,43935.32650891859,50920.49252039105,52095.30020896199,68986.3793833708,69988.02810764649,49013.70990439772,68346.31482914863,64284.33230928568,54859.831018427736,61872.26615813567,71208.54511362853,72981.3737251012
66,99.0,1.0,109690.91769348594,116018.07069993863,76728.9119039669,53052.26779607151,43998.09020734909,50840.71914443006,52114.72387489365,68859.46617835357,69941.53647917944,48771.774622413475,68316.81052646763,64227.13419522455,54777.84481976567,61619.222059157146,71235.05428255252,72956.09390212226
67,99.0,1.0,109625.36002699853,115953.80943462961,76716.23846486074,53066.19293286717,43947.73172709128,50940.430276445186,52096.93188630723,68993.95662474116,69989.88330243627,48974.77316555657,68360.06115198864,64282.58887321817,54857.931120149035,61825.34984652398,71209.88621829584,72980.5243588119
68,99.0,1.0,109678.7359927578,115998.60233051806,76707.47658103427,53034.140531318255,43995.206832314354,50832.136074559225,52104.352665466395,68850.72664627155,69940.26242974549,48813.99706768955,68327.11468066153,64232.94564878293,54777.688357554485,61654.15783574079,71202.73366007014,72961.12304462469
69,99.0,1.0,109621.06849206312,115961.43137948887,76714.0032904152,53065.0753456444,43952.023262026705,50946.35348872584,52095.322560706445,68998.76224979905,69972.56070048342,48919.47494977414,68353.66855307443,64269.08841956716,54831.019619824845,61758.27226141361,71196.05048847801,72968.29795459485
70,99.0,1.0,109675.07030666713,115996.99300491727,76712.9527584258,53033.55938596241,44000.14656783898,50826.50343495649,52096.28368571802,68853.47591083955,69945.31392399239,48863.01444328004,68337.79881451116,64238.7123988524,54795.05566299626,61698.07901359547,71181.20893015969,72962.97823941449
71,99.0,1.0,109621.78374788568,115952.2224607733,76729.15777315591,53080.74391850757,43957.83471558508,50951.248520761554,52094.96493279516,68998.18110444321,69968.91736613719,48874.92792307472,68358.92121302143,64267.81437013321,54832.830111125724,61715.22280159269,71208.12043048388,72967.56034702783
72,99.0,1.0,109668.387135075,115992.38854555949,76708.39300255693,53037.78386566447,43991.69760843487,50829.565623946866,52088.773499581046,68857.92390798616,69958.38969449875,48912.836481670915,68349.06409371663,64248.52481466828,54825.565794177746,61757.06526721302,71183.08647669393,72976.38928608767
73,99.0,1.0,109615.94994258284,115947.4168357154,76723.14515389742,53067.89166544577,43952.783221338184,50937.07751477689,52083.3420256784,68975.85171173236,69952.44413047364,48807.82798621988,68350.31579140613,64238.46652966339,54809.629000381115,61645.48535889213,71207.56163687249,72948.22608807398
74,99.0,1.0,109664.07324839513,115987.40410654595,76714.69619449333,53028.73140916007,43991.13881482349,50836.114685072265,52084.10198498988,68868.02689647996,69957.89795612072,48958.009357215094,68369.42653291542,64254.35861997111,54831.73487564742,61786.0331280271,71184.76285752808,72973.99764943095
75,99.0,1.0,109618.49804145074,115954.14471079645,76735.41626160339,53074.127802148796,43968.2282767568,50938.15039851075,52089.39934842579,68971.13549365228,69948.04083681594,48768.66772993419,68363.81624505714,64234.7114365949,54796.910857786046,61595.39509956779,71228.05818653801,72950.01422763041
76,99.0,1.0,109652.33858255608,115980.83269367609,76719.30065385111,53044.556444234426,43991.04940784567,50852.54321724692,52085.01840651255,68893.53023690346,69971.59957547183,48997.84016583445,68390.43717270342,64270.518931212304,54858.86989341616,61834.75993093967,71190.97664248665,72988.86155949373
77,99.0,1.0,109598.98496854126,115931.59180064105,76733.49401158023,53062.370784565304,43968.04946280116,50911.99885749804,52080.90568553277,68945.38628403978,69936.77555761047,48719.2480229435,68370.633527116,64214.594866585125,54791.99347400588,61541.57209891941,71235.85894535291,72946.43794851756
78,99.0,1.0,109608.19388725686,115938.87846933347,76707.05189788961,53022.472920712586,43972.89979134796,50848.2516823115,52070.66858657225,68895.02780378197,69964.3129067794,49026.584509203974,68401.88126586453,64260.39359097405,54872.1021261337,61844.81821594456,71181.14187492632,72986.04523969236
79,99.0,1.0,109580.76829681019,115920.12535573546,76730.90120922342,53065.79060146697,43971.96101808084,50905.539203350454,52084.75018557909,68923.50392621802,69915.74256607801,48667.92841767412,68370.8346928161,64194.41124134198,54777.91187499904,61482.49643832403,71227.25352373761,72926.36608199669
80,99.0,1.0,109562.7080872903,115906.71430906228,76706.51545602268,53045.78579017947,43967.78124186769,50875.56551403589,52071.65206332828,68916.37371973679,69966.25750854702,49048.64568098136,68425.01532137577,64285.78517267528,54889.00004494191,61878.435239605344,71189.34496514141,72999.16571368763
81,99.0,1.0,109545.81016848209,115887.71532627528,76736.73501452626,53065.41062181123,43979.31474200663,50891.636418299255,52079.47517388764,68905.89075158724,69890.57450182135,48641.82158015032,68378.32252720863,64195.32766286465,54764.4784765814,61462.71514448109,71241.33512274447,72937.45254724653
82,99.0,1.0,109482.62178690694,115843.74944493169,76700.59224374202,53030.854824883325,43951.08448875958,50881.60048503882,52059.179789922215,68925.8732111303,69942.31879023538,49046.18698909128,68429.10569061109,64279.750201672345,54878.78529772584,61872.31086162459,71185.27694765055,72988.12395192671
83,99.0,1.0,109487.4944671982,115851.3937415354,76733.62812204697,53062.92957817669,43987.65194268846,50890.83175549886,52078.268179687046,68891.02684152446,69866.03228640942,48625.43775146458,68382.7928760997,64193.51717156377,54743.758409471324,61436.38478951273,71237.51297444261,72931.03759658785
84,99.0,1.0,109448.82594929052,115820.12365104244,76712.63983400344,53058.52628451899,43966.52954417819,50928.807369328424,52072.43437438421,68964.0276389155,69934.33921746483,49054.43478279529,68460.88987122654,64297.8774664256,54886.608408285196,61873.22728314725,71199.93969201323,73004.70894631254
85,99.0,1.0,109462.97460353072,115833.57940120452,76731.34824411252,53071.26677885852,44000.61595447254,50894.81036601191,52082.76088032257,68880.78974256394,69859.41617005065,48639.787571404886,68411.91719912496,64204.737747280335,54758.28704336727,61448.34297279632,71244.4643669682,72948.29314330735
86,99.0,1.0,109424.28373387859,115813.19461026129,76710.73993572473,53071.51264804753,43972.40805296994,50959.786887143484,52073.30609241797,68985.37355487031,69929.13126100675,49046.05287862455,68480.80527553622,64309.27685609781,54892.55397231031,61860.17386438535,71213.0601660085,73014.34254817279
87,99.0,1.0,109468.04844952207,115860.33443931752,76722.7651742417,53077.94995045065,44016.552748269176,50901.627648070775,52084.10198498988,68879.96272801909,69857.04688513838,48685.96627544955,68435.11830986958,64220.115747465585,54770.80402026225,61485.044537191934,71252.80156765004,72967.29212609435
88,99.0,1.0,109442.18748118728,115850.45496826828,76712.23750260324,53090.131651178795,43971.20105876936,50975.14253558428,52067.718156304145,68993.10725845186,69925.13029874925,49030.76428541712,68492.07055474169,64305.83468745169,54900.62295205867,61837.1962710853,71221.9561603017,73013.69434758357
89,99.0,1.0,109520.30682805859,115924.64040811545,76733.69517728033,53095.1831454257,44028.779152486226,50901.64999981523,52081.285665188516,68864.67413481166,69874.995335936,48760.59875018582,68459.14643515903,64241.72988435387,54812.914706816046,61550.982183335094,71262.41281776581,72988.16865541562
90,99.0,1.0,109500.32436851555,115915.29737893313,76733.02462494667,53122.83225331691,43985.55087870966,51002.61282951985,52069.57335109393,69002.29382542298,69939.16719426718,49027.769151660104,68507.78383109377,64314.775385233814,54918.884327278654,61826.28861979111,71251.2145937937,73024.49024015549
91,99.0,1.0,109582.80230555563,115992.54500777066,76745.8098227751,53108.50478512106,44045.78883001672,50902.119386448794,52078.80462155397,68859.19795742011,69910.46755438657,48838.58398659039,68486.43791513896,64264.90864335402,54862.51322776237,61632.141367452314,71274.70627721623,73009.42516439261
92,99.0,1.0,109560.29409888914,115979.73745819778,76758.32679967009,53147.68739315122,44008.0367336317,51024.115207685856,52076.77061280854,69013.87202905084,69958.30028752092,49000.54472691354,68528.70506390394,64317.2787806128,54946.66754563661,61801.94757007928,71278.14844586235,73031.15106000318
93,99.0,1.0,109652.65150697847,116064.20470049437,76777.05756152363,53129.9401080537,44067.02298724926,50918.14558722325,52092.43918567171,68850.79370150491,69940.26242974549,48917.91032766227,68511.4718689289,64292.11071635613,54919.68899007905,61713.25584808062,71285.30100408805,73034.41441469365
94,99.0,1.0,109607.88096283448,116030.09593845558,76789.10515178504,53154.19175078771,44008.886099921,51023.17643441873,52075.98830175261,68981.77492401302,69975.44407551814,48983.088014493944,68550.49801474786,64322.77730974881,54979.68107219709,61781.406316924855,71303.89765547487,73041.1869932636
95,99.0,1.0,109704.35109190359,116117.82653544267,76811.18867530688,53150.23549201912,44068.542905872215,50924.29231694846,52088.66174085876,68850.81605324936,69968.20211031463,48995.02384603308,68539.12097682011,64307.80164096376,54983.212647821034,61796.024357798626,71289.95016693475,73048.78658637841
96,99.0,1.0,109670.7340682428,116090.646814185,76839.95537042087,53189.820431449465,44029.58381528662,51036.43101888073,52081.86681054435,68981.37259261282,70003.02612817599,48960.557456083,68568.84879694568,64326.934734217495,55019.154252905166,61774.633738354896,71327.21052494175,73050.5970776793
97,99.0,1.0,109734.12361551805,116147.93433522397,76823.6833004574,53144.13346578282,44069.86165879508,50916.60331685583,52071.696766817186,68838.99198043252,69998.71224149612,49061.699099743266,68566.99360215588,64324.09606267168,55036.834482769314,61883.03969896313,71285.79274246606,73058.80016789438
98,99.0,1.0,109697.80203077818,116117.7594802093,76850.34893159258,53176.275274309555,44030.96962344285,51017.320277371444,52068.54517084899,68944.62632472829,70000.83565721937,48910.82482466994,68561.67388697552,64299.01740539282,55025.50214833047,61737.21691813671,71314.02299571312,73027.39596693468
