,time,event,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,10-56-43.025163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,99.0,1.0,54773.86620925262,57912.25229647783,38295.511996211055,26389.005945802444,21943.82511899771,25426.115146412274,26049.795871948707,34512.76981982825,34744.13272668514,24552.273696932043,33319.1643141704,31923.543742125483,26012.915493597447,30778.083894024363,41716.75940951818,36069.255896718016
1,99.0,1.0,109611.14431752496,115861.72024747376,76574.32723931399,52742.53967315432,43938.63456709797,50722.99250638396,52105.29143873351,68865.65761156769,69923.27510395946,48862.83562932439,68147.13843430739,64219.825174787664,54807.17030849103,61976.89467393097,71455.5095381152,72921.71691914999
2,99.0,1.0,109574.9121397629,115820.14600278689,76592.49920755616,52771.127554312654,43890.73477873025,50824.11179829977,52091.92509554924,68965.70401974965,69927.54428715042,48754.02733731596,68145.05972207306,64210.258628160795,54803.348160189176,61855.72586723875,71484.11977101801,72899.76750609488
3,99.0,1.0,109600.48253541977,115856.66875322686,76536.53043944007,52738.851635319195,43903.94465970334,50714.87882314668,52063.40426962427,68842.25533512299,69925.44322317162,48905.61686821185,68147.74193140768,64226.53069812426,54824.89524184409,62016.81488952815,71438.49986058472,72915.74900338042
4,99.0,1.0,109584.70220383433,115851.48314851323,76600.74700126017,52782.482240495956,43886.35383681701,50819.30617324188,52074.17781045173,68938.88192640328,69919.98939752452,48699.71259828957,68159.85657690246,64198.0545756882,54797.51435488634,61815.53743070811,71477.36954419251,72882.28844193082
5,99.0,1.0,109620.35323624054,115883.04381168411,76563.24077406416,52763.84088562023,43911.96893596279,50742.594986271266,52080.235133199116,68867.98219299104,69951.55006069542,48961.94326423923,68167.07619036152,64246.37904720057,54863.742573707415,62086.1052973396,71457.45413988283,72937.1619745686
6,99.0,1.0,109601.15308775344,115862.9495934188,76585.41370456382,52790.10418535521,43894.24400260973,50797.51322239795,52080.302188432484,68903.14148701924,69909.19350495262,48663.10044087177,68141.79636738257,64193.67363377495,54785.82439253621,61778.388831423385,71500.9729863373,72889.48570364543
7,99.0,1.0,109612.30660823663,115890.44223909882,76540.48669820865,52760.59988267421,43900.16721489039,50755.156666655144,52074.848362785386,68878.1075332293,69943.12345303578,48990.21822097519,68170.20543458527,64245.52968091127,54853.61723346916,62099.09166086813,71434.96828496079,72926.79076514134
8,99.0,1.0,109618.96742808432,115882.82029423956,76614.71684154474,52804.94574367354,43920.350840133535,50802.25179222248,52095.83665082892,68903.09678353033,69926.47140341657,48651.47753375501,68155.11800707794,64186.05168891569,54779.4764971109,61745.88939498537,71513.95934986584,72894.8054188258
9,99.0,1.0,109610.25024774675,115862.5472620186,76554.47889023767,52763.77383038686,43899.80958697911,50764.4326406041,52072.90376101778,68895.31837645988,69961.3177730224,49029.93727087227,68192.57953078503,64260.05831480722,54885.98255944045,62145.78445503527,71455.84481428204,72946.7732246844
10,99.0,1.0,109617.38045422798,115890.44223909882,76591.60513777795,52794.485127268454,43925.49174135825,50786.96319901505,52107.05722654548,68886.1094577443,69894.19548442311,48627.695277654566,68146.04319882908,64168.729086962834,54752.40853457553,61716.58625800446,71507.79026839617,72885.12711347666
